#	number
#	pound
(F)	final
Cbll	cerebellum
Cbr	cerebrum
Cc	concentration of drug in the central compartment
Ccr	creatinine clearance
Cd	cadmium
Cd	concentration of drug
Cdyn	Caused dynamic compliance
Ce	Cerium
Ch	chest
Ch	chief
Ch	child (children)
Ch	chronic
ChE	cholinesterase
ChemoRx	chemotherapy
Chg	change
Chix	chickenpox
Ci	curie(s) (measurement of radioactivity)
Circ	circulation
Circ	circumcision
Circ	circumference
Cis-DDP	cisplatin
Clav	clavicle
Cld	dialysis clearance
Clt	total body clearance
Cmin	minimum concentration of drug
Cn	cyanide
Co	compound
Co A	coenzyme A
Cod sulf	codein sulfate
Collyr	eye wash
Comb OP	combination operation
Common A	common atrioventricular canal
Comp	compensate (heart disease)
Comp	complaint
Comp	complete
Comp	complication
Comp	composition
Comp	compound
Comp	compress
Cong	congenital gallon
Conx ex	convergence excess
Cp	concentration of drug plasma
Cpd E	cortisone (compound E)
Cpd F	hydrocortisone (compound F)
Cpmax	peak serum concentration
Cr	chromium
Cr Tr	crutch training
CrAg	cryptococcal antigen
CrCI	creatinine clearance
Cran	craniotomy
Creat	creatine
CsA	cyclosporin A
Css	concentration of drug at steady state
Ct	concentration of drug in tissue
Cta	catamenia (menstruation)
Ctxn	contraction
Cu	copper
Cx	cancel
Cx	cervix
Cx	chest x-ray
Cx	circumflex(artery)
Cx	complication
Cx	convex
Cx	culture
Cx	cylinder axis
CxBx	cervical biopsy
CxDil	cervix dilatation
CyA	cyclosporine
CyDIC	cyclophosphamide, doxorubicin and dacarbazine
CyVADIC	cyclophosphamide, vincristine, Adriamycin, DIC <DTLC: dimethyl triazenoimidazole carboxamide>(dacarbazine)
Cyclo C	cyclocytidine HIC
Cysto	cyclopropane (anesthetic)
Cysto	cystoscopy (procedure/urology)
Cysto	cytological
Cysto	cytology
D	diagnosis
D	diameter
D	diaphragm
D	diarrhea
D	diastole
D	diffusion
D	dilated
D	diopter
D	disease
D	dispense
D	distance
D	divorced
D	dorsal(spines)
D	dose
D	cholecalciferol
D	daughter
D	dead
D	deciduous
D	density
D	depression
D	dermatologist
D	dermatology
D	deur(Lat.)
D	deuterium
D	deviation
D	dextrose
D & C	dilation and curettage(operation/gynecology)
D & C	direct and consensual
D&C&B	dilatation & curettage & biopsy
D&D	diarrhea and dehydration
D&E	dilation and evacuation(operation/gynecology)
D&I	debridement and irrigation
D&I	dry and intact
D&N	distance and near(vision)
D&Q	deep and quiet
D&S	diagnostic and surgical
D&S	dilation and suction
D&T	diagnosis and treatment
D&V	diarrhea and vomiting
D+H	delusions and hallucinations
D-1 to D	dorsal vertebrae 1 to 12
D-SLE	drug induced systemic lupus erythematosus
D-Spine	dorsal spine
D.SC(D.S	Doctor of Science
D/A	discharge and advise
D/C	decrease
D/C	diagnoal conjugate
D/C	discharge
D/C	discontinue
D/C	diarrhea/constipation
D/D	diarrhea/dehydration
D/N rati	dextrose/nitrogen ratio in urine
D/O	disorder
D/S	5% dextrose and 0.9% sodium chloride injection
D/S	direct smear
D/T	due to
D/T	deaths total ratio
D/W	dextrose in water
D10W	10% dextrose(in water) injection
D50	50% dextrose injection
D50W	50% dextrose(in water) injection
D5E48	5% Dextrose and Electrolyte 48
D5E75	5% Dextrose and Electrolyte 75
D5LR	dextrose 5% in lactated Ringer's injection
D5NS	dextrose 5% in 0.9% sodium chloride injection
D5NSS	5% dextrose in normal saline solution(intravenous solution)
D5W	5% dextrose(in water) injection
D70W	70% dextrose (in water) injection
DA	degenerative arthritis
DA	delayed action(with reference to drugs)
DA	delivery awareness
DA	developmental age
DA	diabetic amyotrophy
DA	diagnostic arthroscopy
DA	digital-analog
DA	direct admission
DA	direct agglutination
DA	dopamine
DA	drug addiction
DA	drug aerosol
DA	ductus arteriosus
DA/A	drug/alcohol addicion
DAA	discharge against advice
DAB	days after birth
DAC	day activity center
DAC	disabled adult child
DACL	Depression adjective checklists
DACT	dactinomycin
DAD	diffuse alveolar damage
DAD	dispense as directed
DAD	drug administration device
DAE	diving air embolism
DAF	decay accelerating factor
DAF	delayed auditory feedback
DAG	dianhydrogalactitol
DAH	disordered action of the heart
DAI	death from accidental injuries
DAI	diffuse axonal injury
DAL	drug analysis laboratory
DAM	diacetylmonoxime
DAMA	discharge against medical advice
DANA	drug induced antinuclear antibodies
DAO	descending aorta
DAP	diabetes associated peptide
DAP	diastolic augmentation pressure
DAP	direct agglutination pregnancy
DAR	daily affective rhythm
DAR	deficient auditory response
DAR	differential absorption rate
DAR	drug abuse rehabilitation
DAR	dual asthmatic reaction
DARE	data, action, response and evaluation
DARP	drug abuse rehabilitation program
DAS	developmental apraxia of speech
DAS	dextrose aminogen solution
DAT	daunorubicin, cytaribine, (ARA-C) and thioguanine
DAT	delayed action tablet
DAT	dementia of the Alzheimer type
DAT	diet as tolerated
DAT	differential agglutination titer
DAT	differential aptitude test
DAT	diphtheria antitoxin
DAT	direct agglutination test
DAT	direct antiglobulin test
DAU	drug abuse urine
DAVA	vindesine sulfate
DAW	dispense as written
DB	date of birth
DB	deep breathe
DB	demonstration bath
DB	direct bilirubin
DB	double blind(Test)
DB & C	deep breathing and coughing
DBA	dibenamine
DBCO	detachable balloon catheter occlusion
DBD	milolactol(dibromodulici-tol)
DBE	deep breathing exercise
DBED	penicillin G benzathine
DBIL	direct bilirubin
DBL	phenformin HCI
DBL	double beta-lactam
DBM	diabetic management
DBO	distobuccocclusal
DBO	detachable ballon occlusion
DBP	D-binding protein
DBP	diastolic blood pressure
DBPT	dacarbazine(DTIC), carmustine(BCNU), cisplatin(Platinol) and tamoxifen
DBQ	debrisopquin
DBS	Denis-Brown splint
DBS	despeciated bovine serum
DBS	diminished breath sound
DBZ	dibenzamine
DC	discontinue
DC	daily census
DC	daunorubicin and cytarabine
DC	deoxycholic acid
DC	dextrocardia
DC	diagnostic center
DC	diagnostic code(on records)
DC	differential cell
DC	direct Coombs'(test)
DC	direct current
DC	donor's cells
DC	dressing change
DCA	sodium dischloroacetate
DCA	desoxycorticosterone acetate(medication/order)
DCABG	double coronary artery bypass graft
DCAG	double coronary artery graft
DCBE	double contrast barium enema
DCC	day care center
DCCF	dural carotid-cavernous fistula
DCCT	Diabetes Control and Complications Trial(questionnaire)
DCE	delayed contrast-enhancement
DCE	designated compensable event
DCF	data collection from pentostatin(deoxycoformycin)
DCF	direct centrifugal flotation
DCG	Doppler cardiography
DCG	dynamic electrocardiography
DCH	delayed cutaneous hypersensitivity
DCIS	ductal carcinoma in situ
DCMXT	dichloromethotrexate
DCNU	chlorozotocin
DCO	diffusing capacity of carbon monoxide(pulmonary function test)
DCP	dynamic compression plate
DCP	dicalcium phosphate, dibasic calcium phosphate
DCPM	daunorubicin, cytarabine, prednisolone and mercaptopurine
DCPN	diretion-changing positional nystagmus
DCR	dacryocystorhinostomy
DCR	delayed cutaneous reaction
DCRV	double chambered right ventricle
DCS	decompression sickness
DCS	dorsal column stimulator
DCSA	double contrast shoulder arthrography
DCT	daunorubicin , cytarabine and thioguanine
DCT	deep chest therapy
DCT	direct (antiglobulin) Coombs' test(laboratory/blood bank)
DCT	distal convoluted tubule(of kidney)
DCTM	delay computer tomographic myelography
DCU	day care unit
DCx	double convex
DD	dangerous drug
DD	dependent drainage
DD	depth dose
DD	dialysis dementia
DD	died of the disease
DD	differential diagnosis
DD	discharge diagnosis
DD	disk diameter(eye examination)
DD	double diffusion test
DD	down drain
DD	dry dressing
DD	Duchenne's dystrophy
DD	dangerous drug
DDA	Dangerous Drug Act
DDA	dideoxyadenosine
DDC	zalcitabine(dideoxycytidine)
DDD	degenerative disc disease
DDD	defined daily doses
DDGB	double-dose gallbladder(test)
DDHT	double dissociated hypertropia
DDI	didanosine(dideoxyinosine)
DDM	doctor of dental medicine
DDM	dye dilution method
DDP	cisplatin
DDS	dialysis disequilibrium syndrome
DDS	Doctor of Dental Surgery
DDS	double decidual sac(sign)
DDS	drug delivery system
DDST	Denver Development Screening Test(pediatrics)
DDT	chlorophenothane
DDT	dichlorodiphenyltrichloroethane
DDT	dye dilution test
DDTP	drug dependence treatment program
DDx	differential diagnosis
DEB	dystophic epidermolysis bullosa
DEC	decrease
DEC	diethylcarbamazine
DEEDS	drugs, exercise, education, diet and self-monitoring
DEEG	deteriorating electroencephalogram
DEET	diethylotoluamide
DEF	decayed, extracted or filled
DEJ dej	dentoenamel junction
DEM	drug evaluation matrix
DEMO	eflornithine(difluoromethylorithine)
DEPA	diethylene-phosphoramide
DER	disulfiram-ethanol reaction
DES	diethylstibestrol(medication order)
DES	diffuse esophageal spasm
DES	disequilibrium syndrome
DES	dry eye syndrome
DET	diethyltryptamine
DEV	duck embryo vaccine
DEVR	dominant exudative vitreoretinopathy
DEX	dexamethasone
DF	decayed and filled
DF	dengue fever
DF	depressed fracture
DF	diabetic father
DF	disseminated foci
DF	dorsiflexion
DF	drug free
DF	dye free
DFA	diet for age
DFA	difficulty falling asleep
DFA	direct fluorescent antibody
DFC	distal finger crease
DFC	dryfilled capsule
DFD	defined formular diets
DFD	degenerative facet disease
DFDT	difluoro-diphenyl-trichloroethane
DFE	dilated fundus examination
DFE	distal femoral epiphysia
DFG	direct forward gaze
DFI	disease-free interval
DFM	decreased fetal movement
DFMC	daily fetal movement count
DFP	diastolic filling period
DFP	isoflurophate(diisopropyl flurophosphate)
DFRC	deglycerolized frozen red cells
DFS	disease-free survival
DFT	diagnostic function test
DFT4	dialyzable free thyroxine(laboratory/endocrinology)
DFU	dead fetus in uterus
DG	diastolic gallop
DGE	delayed gastric emptying
DGI	disseminated gonococcal infection
DGM	ductal glandular mastectomy
DGRD	duodeno gastric reflux disease
DH	day hospital
DH	dehydrogenase
DH	delayed hypersensitivity
DH	dermatitis herpetiformis
DH	developmental history
DH	diaphragmatic hernia
DHA	dihydroxyacetone
DHAC	dihydro-5 azacytidine
DHAD	mitoxanthrone HCI
DHBV	duck hepatitis B virus
DHCA	deep hypothermia circulatory arrest
DHCC	dihydroxycholecalciferol
DHE45	dihydroergotamine mesylate
DHEA	dehydroepiandrosterone
DHEAS	dehydroepiandrosterone sulfate
DHF	dengue hemorrhagic fever
DHFR	dihydrofolate reductase
DHL	diffuse histocytic lymphoma
DHM	Doll's head maneuver
DHO	dihydroergocornine
DHPR	erythrocyte dihydropteridine reductase
DHR	delayed hypersensitivity reaction
DHS	duration of hospital stay
DHS	dynamic hip screw
DHSM	dihydrostreptomycin(on culture and sensitivity reports)
DHST	delayed hypersensitivity test
DHT	dihydrotachysterol
DHT	dihydrotestosterone
DHT	dissociated hypertropia
DI	(Beck) Depression Inventory
DI	date of injury
DI	Debrix Index
DI	detrusor instability
DI	diabetes insipidus
DI	diagnostic imaging
DI	drug information
DI	drug interactions
DI	drug intoxication
DIA	death in action
DIA	diabetic(diabetes)
DIAS BP	diastolic blood pressure
DIB	disability insurance benefits
DIC	dacarbazine imidazole carboxamide
DIC	differential interference contrast
DIC	disseminated intravascular coagulation
DIC	drip infusion cholangiography
DIC	drip infusion cholecystography
DIC	drug information center
DICC	dynamic infusion cavernosometry and cavernosography
DICP	demyelinated inflammatory chronic polyneuropathy
DID	delayed ischemia deficit
DID	double isotope derivative
DIF	differentiation-inducing factor
DIFP	diffuse interstitial fibrosing pneumonia
DIG	digoxin(this is a dangerous abbreviation)
DIH	died in hospital
DIJOA	dominantly inherited juvenile optic atrophy
DIL	daughter-in-law
DIL	drug-induced lupus
DILD	diffuse infiltrative lung disease
DILD	diffuse interstitial lung disease
DILE	drug induced lupus erythematosus
DIMD	drug induced movement disorders
DIMOAD	diabetes insipidus, diabetes mellitus, opticatrophy and deafness
DIOS	distal intestinal obstruction syndrome
DIP	defective interfering particle
DIP	desquamative interstitial pneumonia
DIP	distal interphalangeal
DIP	drip infusion pyelography
DIP	drip intravenous pyelography
DIP	drug-induced parkinsonism
DIPJ	distal interphalangeal joint
DIS	Diagnostic Interview Schedule(questionnaire)
DISD	detrusor internal sphincter dyssynergia
DISH	diffuse idiopathic skeletal hyperostosis
DIT	durg-induced thrombocytopenia
DIU	death in utero
DIV	double inlet ventricle
DIVA	digital intravenous angiography
DIVP	drip intravenous pyelography
DJD	degenerative joint disease
DJS	Dubin-Johnson syndrome
DK	diabetic ketoacidosis
DK	disease kidney
DKA	diabetic ketoacidosis
DKA	didn't keep appointment
DL	danger list
DL	diagnostic laparoscopy
DL	direct laryngoscopy
DL	Donath Landsteiner antibody(hemolysis)
DL	dosis letalis
DLB	direct laryngoscopy and bronchoscopy
DLC	diffuse large cell
DLC	double lumen catheter
DLCO sb	single breath carbon monoxide diffusing capacity of the lungs
DLD	date of last drink
DLE	discoid lupus erythematosus
DLE	disseminated lupus erythematosus
DLF	digitalis-like factor
DLF	dose limiting factor
DLIF	digoxin-like immunoreactive factors
DLIS	digoxin-like immunoreactive substance
DLM	dosis letalis minima
DLMP	date of last menstrual period
DLNMP	date of last normal menstrual period
DLPD	diffuse lymphocytic poorly differentiated
DLSC	double lumen subclavian catheter
DLT	double-lung transplant
DM	dehydrated and malnourished
DM	dermatomyositis
DM	dextromethorphan
DM	diabetes mellitus
DM	diabetic mother
DM	diastolic murmur
DMAD	disease-modifying antirheumatic drug
DMBA	dimethylbenzanthracene
DMC	dactinomycin, methotrexate and cyclophosphamide
DMC	diabetes management center
DMCT	demethylchlortetracycline(on culture and sensitivity reports)
DMD	disciform macular degeneration
DMD	Doctor of Dental Medicine
DMD	Duchenne's muscular dystrophy
DMD	dystonia musculorum deformans
DMD w/SR	disciform macular degeneration with subretinal neovascular membrane
DMF	decayed, missing or filled
DMI	desipramine
DMI	diaphragmatic myocardial infarction
DMKA	diabetes mellitus ketoacidosis
DMO	dimethadone
DMOOC	diabetes mellitus out of control
DMP	dimethyl phthalate
DMP	dystrophia musculorum progressiva
DMPS	dysmyelopoietic syndrome
DMR	diabetic retinopathy
DMS	dermatomyositis
DMSA	dimercaptosuccinic acid
DMSO	dimethyl sulfoxide
DMT	dimethyl-oxazplidinedione, dimethadone
DMV	Doctor of Veterinary Medicine
DMX	diathermy, massage and exercise
DN	depressive neurosis
DN	diabetic nephropathy
DN	dicrotic notch
DN	dysplastic nevus
DNA	deoxyribonucleic acid
DNCB	dinitrochlorobenxene
DND	died a natural death
DNFC	does not follow commands
DNI	do not intubate
DNKA	did not keep appointment
DNP	dinitrophenylhydrazine
DNR	daunorubicin
DNR	did not respond
DNR	do not report
DNR	dorsal nerve root
DNS	deviated nasal septum
DNS	dysplastic nevus syndrome
DNT	did not test
DO	diet order
DO	distocclusal
DO	doctor's order
DOA	date of admission
DOA	death on arrival
DOA	degenerative osteoarthritis
DOA	duration of action
DOA-DRA	dead on arrival despite resuscitation attempts
DOB	dangle out of bed
DOB	date of brith
DOB	dobutamine
DOB	doctor's order book
DOC	date of conception
DOC	desoxycorticosterone
DOC	diabetes out of control
DOC	died of choice
DOC	died of other causes
DOC	drug of choice
DOCA	desoxycorticosterone acetate(medication/order)
DOD	date of death
DOD	dead of disease
DOE	dyspnea on exertion(exercise)
DOES	disorders on excessive somnolence
DOH	Department of Health
DOI	date of implant(pacemaker)
DOI	date of injury
DOL	day of life
DOLV	double outlet left ventricle
DOM	domiciliary care
DOM	dimethoxymethylamphetamine
DOP	dopamine
DORA	double outlet right atrium
DORV	double-outlet right ventricle
DORx	date of treatment
DOSA	day of surgery admission
DOSS	docusate sodium(dioctyl sodium sulfosuccinate)
DOT	date of transcription
DOT	date of transfer
DOT	Doppler ophthalmic test
DOX	doxepin
DOX	doxorubicin
DP	deep pulse
DP	dextran preparation
DP	diastolic pressure
DP	diffusion pressure
DP	disability pension
DP	discharge planning
DP	distal pancreatectomy
DP	donor's plasma
DP	dorsalis pedis(pulse)
DP	dynamic psychiatry
DPA	dipropylacetic acid
DPA	dual photon absorptiometry
DPAP	diastolic pulmonary artery pressure
DPB	days postburn
DPB	diffuse panbronchiolitis
DPC	delayed primary closure
DPC	discharge planning coordinator
DPC	distal palmar crease
DPD	diffuse pulmonary disease
DPDL	diffuse poorly differentiated lymphocytic lymphoma
DPH	Department of Public Health
DPH	diphenylhydration(dilontin) intoxication
DPH	Doctor of Public Health
DPH	phenytoin (diphenylhydantoin)
DPL	diagnostic peritoneal lavage
DPLN	diffuse proliferative lupus nephritis(nephropathy)
DPM	drops per minute
DPN	diabetic peripheral neuropathy
DPN	diphosphopyridine nucleotide
DPP	dorsalis pedal pulse
DPT	Demerol, Phenergan and Thorazine(this is a dangerous abbreviation)
DPT	diphtheria, pertussis and tetanus(immunization)(vaccine)
DPTPM	diphtheria, pertussis, tetanus, poliomyelitis and measles
DPU	delayed pressure urticaria
DPUD	duodenal peptic ulcer disease
DPVSs	dilated perivascular spaces
DQ	developmental quotient(pediatrics)
DR	delivery room
DR	diabetic retinopathy
DR	diagnostic radiology
DR	diurnal rhythm
DR	dorsal root(spinal nerves)
DR	dram
DR	dressing
DRA	drug-related admissions
DRAPE	drug-related adverse patient event
DRE	digital rectal examination
DRESS	depth resolved surface coil spectroscopy
DREZ	dorsal root entry zone
DRF	dose reduction factor
DRG	diagnosis-related groups
DRGE	drainage
DRM	drug-related morbidity
DRP	deficient release reaction
DRP	drug-related problem
DRS	Duane's retraction syndrome
DRSG	dressing
DRT	delayed response test
DRUJ	distal or radial ulnar joint
DS	dead air space(pulmonary function test)
DS	deep sleep
DS	degenerative spondylolisthesis
DS	Dextrostix
DS	dilute strength(of solution)
DS	discharge summary
DS	disoriented
DS	double strength
DS	Down's syndrome(mongolism)
DS	drug screen
DS	dry swallow
DS12	dimethyl benzyl tauryl ammonium chloride
DSA	digital subtraction angiography(angiocardiography)(procedure/neurology)
DSAP	disseminated superficial actinic porokeratosis
DSB	drug-seeking behavior
DSC	dirty sexual contact
DSD	detrusor sphincter dyssynergia
DSD	discharge summary dictated
DSD	dry sterile dressing
DSDB	direct self-destructive behavior
DSI	deep shock insulin
DSM	drink skim milk
DSM III	Diagnostic & Statistical Manual, 3rd Edition
DSN	deflected septum nasal
DSN	deviation septum nasal
DSP	digital signal processor
DSR	daily secretion rate
DSRF	drainage subretinal fluid
DSS	dengue shock syndrome
DSS	docusate sodium
DSS	dextrose, sucrose, starch
DSS	dextrose 5% in 0.9% sodium chloride(saline) injection
DST	daylight saving time
DST	dihydrostreptomycin(on culture and sensitivity reports)
DST	donor-specific(blood) transfusion
DSU	day stay unit
DSU	day surgery unit
DSUH	direct suggestion under hypnosis
DSV	digital subtraction ventriculography
DSWI	deep surgical wound infection
DT	delirium tremens
DT	dietetic technician
DT	differential tonometry
DT	diphtheria tetanus
DT	diphtheria toxoid
DT	discharge tomorrow
DT	dispensing tablet
DT	distance test(hearing)
DT	dizygotic twin
DT	double tachycardia
DT	duration tetany
DT	dye test
DTBC	tubocurarine(D-tubocurarine)
DTBE	division of tuberculosis elimination
DTC	day treatment center
DTG	diffuse toxic goiter
DTH	delayed-type hypersensitivity
DTIC	dimethyltriazenoimidazole carboxamide <dacarbazine>
DTN	diphtheria toxin normal
DTNM250	diphtheria toxin, normal solution meerschweiohen weighting 250g
DTO	deodorized tincture of opium(warning : this is NOT paregoric)(medication order)
DTOGV	dextral-transposition of great vessels
DTP	diphtheria, tetanus and pertussis(vaccine) (medication order)
DTPA	pentaacetic acid(diethylenetriaminepentaaceticacid)
DTR	deep tendon reflexes
DTS	donor specific transfusion
DTT	diphtherial tetanus toxoid
DTT	dithiothreitol
DTUS	diathermy, traction and ultrasound
DTV	due to void
DTX	detoxification
DTs	delirium tremens
DU	diabetic urine
DU	diagnosis undetermined
DU	duodenal ulcer
DU&NU	delayed union & non union
DUB	dysfunctional uterine bleeding
DUI	driving under the influence
DUID	driving under the influence of drugs
DUN	dialysate urea nitrogen
DUNHL	diffuse undifferentiated non-Hodgkins lymphoma
DUR	drug use review
DUR	duration
DUSN	diffuse unilateral subacute neuroretinitis
DV	dilute volume(of solution)
DV	distant vision
DV	dorso-ventral
DV Cream	dienestrol vaginal cream
DVA	distance visual acuity(eye examination)
DVA test	duration of voluntary apnea test
DVB	disorders of vitreous body
DVC	direct visualization of vocal cords
DVD	dissociated vertical deviation
DVD	double vessel disease
DVI	dual ventricular inhibition
DVI	digital vascular imaging
DVISA	digital video imaging subtraction angiopathy(neurological panel)
DVIU	direct vision internal urethrotomy
DVL	deep vastus lateralis
DVP	daunomycin, vincristine, prednisolone
DVP-Asp	daunorubicin, vincristine, prednisone and asparraginase
DVR	double valve replacement
DVSA	digital venous subtraction angiography
DVT	deep vein thromosis
DVT	daily volume turnover
DVTS	deep venous thromboscintigram
DVVC	direct visualization of vocal cords
DW	deionized water
DW	distilled water
DW	doing well
DW	dry weight
DWDL	diffuse well differentiated lymphocytic lymphoma
DWRT	delayed work recall test
DXI	direct concentration
DXM	dexamethasone
DXRT	deep x-ray therapy
DXS	Dextrostix
DY	dysprosium
DZ	diazepam
DZ	disease
DZ	dizygotic
DZ	dozen
DZP	diazepam
Darst	darstellung(Ger) (=preparation)
Dauno	daunorubicin
Db	dubhium
Decel	deceleration
Dem	demerol(meteridine hydrochloride) (medication order)
Derm	dermatology
Desat	desaturation
Diath	diathermy(physical therapy)
Diath SW	diathermy short wave
Diaz	diazepam
Diclox	dicloxacillin
Dir	directions
Dir	direct
Div	division
Div ex	divergence excess
Dnase	deoxyribonuclease
Do	check doctor's order
Dr	doctor
Dtd	datur tales doses(give such doses)
Dx	diagnosis
Dxd	discontinued
E	edema
E	electromotive force
E	eloper
E	emmetropia(eye examination)
E	engorged
E	enzyme
E	eosinophil(on white blood count reports)
E	erythromycin(on culture and sensitivity reports)
E	esophoria for distance
E	evaluation
E	expired
E	eye
E&B	excision and biopsy
E&Gw	economic and general welfare
E&I	endocrine and infertility
E&M	endocrine and metabolic
E&P	estrogen and progesterone
E&R	equal and reactive
E&R	examination and report
E'	esophoria for near
E(T)	intermittent esotropia
E-CABG	endarterectomy and coronary artery bypass grafting
E-L	external lids
E-Panel	electrolyte panel (sodium, potassium, chloride and carbon dioxide)
E-beam	electron beam
E-micr	electron microscopy
E-tube	eustachian tube
E/I	expiration-inspiration ratio (pulmonary function test)
E1	estrone(laboratory/endos)
E2	estradiol(17-estraadiol)
E3	estriol
E600	E600
EA	elbow aspiration
EA	electrical ablation
EA	enteral alimentation
EA	entroanastomosis
EA	enzymatic active
EA	epidural anesthesia
EA	erythrocyte antibody
EA	esopageal atresia
EA	ethyl alcohol(whiskey)
EAA	electrothermal atomic absorption
EAA	essential amino acid
EAA	excitatory amino acid
EAB	elective abortion
EABV	effective arterial blood volume
EAC	erythrocyte antibody complement
EAC	external auditory canal
EAE	experimental allergic encephalomyelitis
EAHF	eczema, allergy, and hay fever
EAL	electronic artificial larynx
EAM	external auditory meatus
EAN	experimental allergic neuritis
EANG	epidemic acute nonbacterial gastroenteritis
EAO	experimental allergic orchitis
EAP	Employment Assistance Programs
EAS	external anal sphincter
EAT	eating attitudes test
EAT	ectopic atrial tachycardia
EAT	experimental autoimmune thymitis
EAT	experimental autoimmune thyroiditis
EAU	experimental autoimmune uveitis
EAV	equine abortion virus
EB	elastic bandage
EB	endometrial biopsy
EB	epidermolysis bullosa
EB	epidural bleeding
EB	epidural block
EB	Epstein-Barr
EBA	endometrial basal arteries
EBA	epidermolysis bullosa acquisita
EBA	erythrocyte-binding antigen
EBA	extrahepatic biliary atresia
EBBB	endobronchial brush biopsy
EBC	esophageal balloon catheter
EBEA	Epstein-Barr(virus) early antigen
EBF	erythroblastosis fetalis
EBGS	extracorporeal blood gas system
EBK	embryonic bovine kidney
EBL	enzootic bovine leukosis
EBL	erythroblastic leukemia
EBL	estimated blood loss
EBM	expressed breast milk
EBNA	Epstein-Barr(virus) nuclear antigen
EBP	epidural blood patch
EBS	epidermolysis bullosa
EBSB	equal breath sounds bilaterally
EBV	effective blood volume
EBV	Epstein-Barr virus
EBVCA	Epstein-Barr viral capsid antigen
EBVNA	Epstein-Barr virus nuclear antigen
EC	ejection clik
EC	electric-cautery
EC	endometrial coiled arteries
EC	endoscopy/cystoscopy
EC	enteric-coated(tablets)(medication order)
EC	epidermal cell
EC	epithelial cell
EC	escherichia coli(E-coli)
EC	esophageal carcinoma
EC	external conjugate
EC	extracellular
EC	eye care
EC junct	esophagocardiac junction(stomach)
ECA	Epidemilological Catchment Area
ECA	ethacrynic acid(diuretic)
ECA	external carotid artery
ECB	extensor copi brevis
ECBD	exploration of common bile duct
ECBV	effective circulating blood volume
ECC	emergency cardiac care
ECC	endocervical curettage
ECC	external cardiac compression
ECC	extracorporeal circulation
ECCE	extracapsular catarct extraction
ECD	endocardial cushion defect
ECDB	encourage coughing and deep breathing
ECE	endocervical ecchymosis
ECEMG	evoked compound electromyography
ECF	extended care facility
ECF	extracellular fluid
ECF-A	eosinophil chemotactic factors of anaphylaxis
ECFV	extracellular fluid volume
ECG	echocardiography
ECG	electrocardiogram
ECG	esophagocologastrostomy
ECGF	endothelial cell growth factor
ECH	extended care hospital
ECHO	echocardiogram
ECHO	echoencephalogram
ECHO	enterocytopathogenic human orphan(virus)
ECHO	enterocytopathogenic human orphan virus
ECHO	ectoposide, cyclophosphamide, hydroxydaunomyin(Adriamycin) and oncovin:
ECHORV	echocardiography/radionuclide ventriculography
ECI	extracorporeal irradiation
ECIB	extracorporeal irradiation of blood
ECIC	extracranial/intracranial
ECIC	extracranial to intracranial(anastomosis)
ECL	extend of cerebral lesion
ECL	extracapillary lesion
ECL	extensor carpi longus
ECLE wit	extra capsular lens extraction with peripheral iridectomy
ECM	erythema chronicum migrans
ECM	external cardiac massage
ECM	extracellular mass
ECM	extracellular matrix
ECMO	extracorporeal membrane oxygenation(oxygenator)
ECP	extracorporeal photochemotherapy
ECPD	external counterpressure device
ECPR	external cardiopulmonary resusciation
ECR	emergency chemical restraint
ECRB	extensor carpi radialis brevis
ECRL	extensor carpi radialis longus
ECS	electrocerebral silence (brain death)
ECT	electroconvulsive therapy
ECT	emission computed tomography
ECT	enhanced computed tomography
ECT	enteric-coated tablet (medication orders)
ECT	extensor carpi ulnaris
ECU	extracellular volume
ECU	electrocautery unit
ECV	external cephalic version
ECVE	extracellular volume expansion
ECW	extracellular water
ECoG	electrocochleography
ECoG	electrocorticogram
ECochG	electrocochleography
ED	erythema dose
ED	ethynodiol diacetate
ED	effective dose
ED	elbow disarticulation
ED	emergency department
ED	epidural
ED50	median effective dose
EDA	erythropoietin-deficiency anemia
EDAS	encephaloduroarteriosynangiosis
EDAS	encephalodural arterio-synangiosis
EDAX	energy dispersive analysis of X-ray
EDB	ethylene dibromide
EDB	extensor digitorum brevis
EDC	effective dynamic compliance
EDC	electrodesiccation and curettage
EDC	end diastolic counts
EDC	endocardial cushion defect
EDC	estimated date of conception
EDC	estimated date of confinement
EDC	extensor digitorium communis
EDCP	eccentric dynamic compression plates
EDD	expected date of delivery
EDF	elongation, derogation and flexion
EDH	epidural hematoma
EDH	epidural hemorrhage
EDI	Eating Disorders Inventory
EDL	estimated date of labor
EDL	extensor digitorum longus
EDM	early diastolic murmur
EDP	emergency department physician
EDP	end diastolic pressure
EDQ	extensor digiti quinti(tendon)
EDQV	extensor digiti quinti five
EDR	effective direct radiation
EDR	electrodermal response (reaction)
EDRF	endothelium derived relaxing factor
EDS	Ehlers-Danlos Syndrome
EDS	excessive daytime somnolence
EDTA	edetic acid (ethylenediaminetetraacetic acid)
EDV	end-diastolic volume
EDV	end dilution value
EDV	epidermal dysplastic verruciformis
EDW	estimated dry weight
EE	end to end
EE	equine encephalitis
EE	external ear
EE	eye and ear
EE	external eye examination
EEA	end-to-end anastomosis
EEA	electroencephalogram audiometry
EEA	elemental enteral alimentation
EEC synd	ectrodactyly-ectodermal dysplasia, cleftlip syndrome
EEE	Easter equine encephalomyelitis
EEG	electroencephalogram (procedure/neurology)
EEG	echoencephalography
